,0,1,2,3,4
0,22478.0,43.5,163.0,228.5,0.0
1,380.0,41.0,16.5,32.5,0.5
2,321.0,0.5,1547.5,21.0,3.5
3,68.5,0.0,75.5,62.5,1.0
4,1.0,0.0,2.0,0.0,1.0
